dashboard_csv_file,column_name,date_reflected,last_updated_date,updated_by,notes
Facility Data/01 Decision Data Export.csv,,,,,"The main file for information and decision points, includes facility data, enrollment, and educational adequacy"
Facility Data/01 Decision Data Export.csv,JeffCoFacilityID,Planning snapshot,,,District short numeric facility identifier; aligns with other Jeffco exports and the project list. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,UniqueID,Planning snapshot,,,"District campus unique id (e.g. CO-1420-####); primary join key for map, distances, project list, and FCI. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,Building Name,Planning snapshot,,,Official school / building label; used with Map_Export and project list for display and name-based joins. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,Status,Planning snapshot,,,"Operational status of the site (e.g. Active, Closed); filters which buildings drive main dashboards. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,Include_Flow_Chart,Planning snapshot,,,Yes/No flag for whether the site participates in the decision flowchart layer. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,School Level,Planning snapshot,,,"Program level band (Elementary, Middle, High, etc.); used for grouping, filters, and map styling. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,Capacity,Planning snapshot,,,Reported instructional capacity for the building or program from the planning workbook. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,EducationalCapacity,Planning snapshot,,,Program-fit or modeled capacity; update when the district publishes a revised capacity study. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,HistoricalEnrollment,Historical snapshot,,,"Historical enrollment for growth comparisons. Paired with CurrEnrollment for articulation growth ((current − historical) / historical) after summing by area. Legacy EnrollmentHistorical, EnrollmentBaseline, 2015Enrollment, or Enrollment2015 are aliases. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,CurrPKEnrollment,Current snapshot,,,"Pre-K headcount (canonical header). Legacy PKEnrollment, PKEnrollment2025, or PKEnrollment2026 columns read the same role. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,CurrEnrollment,Current snapshot,,,"K–12+ total enrollment (canonical header). Legacy Enrollment, Enrollment2025, or Enrollment2026 columns read the same role. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,ProjEnrollment_PK,Projection snapshot,,,Projected PK enrollment at the planning horizon (canonical header). Legacy 2030_PK / “2030 PK” are aliases. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,ProjEnrollment_Total,Projection snapshot,,,Projected total enrollment at the planning horizon (canonical header). Legacy 2030_Total / “2030 Total” are aliases. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,FCI,Planning snapshot,,,Overall facility condition index from the project list: sum of deficiency (08_*) ReplacementCost ÷ sum of deficiency + non-deficiency ReplacementCost for this UniqueID; refresh with npm run precompute:fci-decision-export when costs change. — Edit last_updated_date and updated_by when this field is refreshed.
